loan_id,applicant_age,employment_status,annual_income,loan_amount,loan_tenure_months,credit_score,existing_emis,loan_purpose,branch,default_flag,default_probability,risk_flag,risk_tier,alert_text
LN00036,62,Self-Employed,554733,848537,48,574,4,Education,Mumbai,1,0.86,1,High,"The loan application LN00036 for education financing falls into Risk Tier 3 due to the borrower’s weak credit score of 574 and modest annual income of ₹554,733 against a loan request of ₹848,537. With four existing EMIs and a high debt-to-income ratio, repayment capacity appears stretched, while the borrower’s age of 62 raises concerns over long-term sustainability. Before approval, request updated bank statements to verify cash flow stability and assess recent repayment behavior."
LN00307,31,Salaried,615388,610786,36,569,4,Medical,Hyderabad,0,0.6733333333333333,1,High,"**Loan ID LN00307 (Hyderabad) is classified as High Risk for a medical loan.** The applicant’s credit score of 569 and four existing EMIs significantly strain affordability, given their annual income of ₹615,388 against a loan request of ₹610,786. **Defer approval until the applicant provides proof of stable income stability or reduces existing liabilities by at least one EMI.**"
LN00575,23,Retired,686098,567228,36,494,4,Home,Mumbai,1,0.7333333333333333,1,High,"**Risk Tier: High Risk – Home Loan Application**

This ₹567,228 home loan for a 23-year-old retired applicant (₹686,098 annual income) raises concerns due to a low credit score of 494 and four existing EMIs, straining repayment capacity. Given the applicant’s retired status and limited income, underwriting should request additional collateral or a guarantor before approval to mitigate default risk."
LN00775,47,Self-Employed,492879,657659,48,654,2,Vehicle,Mumbai,1,0.62,1,High,"**Loan ID LN00775** (Vehicle) falls into **Risk Tier 3**, given the applicant’s thin income coverage (₹4.93L vs. ₹6.58L loan) and subprime score (654). With existing EMIs already straining cash flow and no collateral beyond the vehicle, repayment hinges on volatile self-employed income. **Cap the loan at ₹4.5L** or require a 30% down payment to improve the debt-to-income ratio before approval."
LN01837,37,Salaried,409666,409601,36,580,6,Vehicle,Chennai,1,0.8733333333333333,1,High,"**Risk Tier: High-risk (Tier 5) for a ₹409,601 vehicle loan.**

The applicant’s credit score of 580 and six existing EMIs raise concerns, as their annual income of ₹409,666 nearly matches the loan amount, leaving minimal repayment cushion. **Recommend deferring approval until they reduce existing liabilities or provide additional collateral.**"
LN01807,56,Unemployed,554430,658659,60,448,4,Education,Mumbai,1,0.9266666666666666,1,High,"**Risk Tier 6 – Education Loan (LN01807):** The applicant’s credit score of 448 and unemployment status raise significant concerns, compounded by four existing EMIs against an annual income of ₹554,430. With a loan amount of ₹658,659, the debt-to-income ratio is unsustainable. **Recommend deferring approval until income verification and a co-applicant’s inclusion are secured.**"
LN00324,34,Self-Employed,520712,661246,48,634,3,Medical,Pune,1,0.7333333333333333,1,High,"This application for medical financing at Pune (Loan ID: LN00324) falls into the **High Risk** tier due to the applicant’s low credit score of 634 and high existing EMI burden. With ₹520,712 annual income supporting a ₹661,246 loan and three existing EMIs, the debt-to-income ratio is concerning at 58%, while the credit score indicates past repayment issues. Approve only after verifying stable income documentation and reducing the loan amount to ₹500,000 to improve affordability."
LN01119,43,Retired,409518,351721,48,569,3,Home,Chennai,1,0.9,1,High,"The home loan application LN01119 (₹351,721) for a retired applicant aged 43 falls into the high-risk tier due to weak repayment capacity. With an annual income of ₹409,518 and a credit score of 569, the applicant’s leverage (three existing EMIs) and thin income cushion raise concerns. Before approval, request updated bank statements to verify cash flow stability and confirm EMI affordability."
LN01128,40,Unemployed,623899,305211,36,551,6,Medical,Delhi,1,0.9666666666666668,1,High,"Loan ID LN01128 for medical expenses falls into our **High-Risk Tier** given the borrower’s unemployment and weak credit score of 551. With six existing EMIs and an annual income of just ₹6.24 lakh against a ₹3.05 lakh loan, the debt-to-income ratio exceeds 50%, while the low score signals a 40% higher default probability. Before approval, request a detailed repayment plan backed by liquid collateral or a guarantor with verified income to mitigate exposure."
LN01855,59,Salaried,232797,266326,36,777,5,Vehicle,Bangalore,1,0.6866666666666666,1,High,"**Risk Tier: High for the vehicle loan (LN01855).**

The applicant’s ₹232,797 annual income and five existing EMIs strain affordability, while the ₹266,326 loan exceeds prudent lending ratios. **Recommend reducing the loan amount to ₹200,000 or extending the tenure to lower the EMI burden before approval.**"
LN00197,52,Self-Employed,635299,172888,36,521,4,Business,Hyderabad,0,0.66,1,High,"This application (LN00197) for a ₹172,888 business loan falls into **High Risk Tier** due to the applicant’s weak credit profile. With a low score of 521 and four existing EMIs straining ₹6.35 lakh annual income, debt servicing capacity is precarious. Before approval, request updated bank statements to verify cash flow consistency and assess liquidity buffers."
LN01348,55,Retired,607432,100000,36,532,4,Business,Chennai,1,0.6533333333333333,1,High,"**Risk Tier: High-risk, Business loan application (LN01348)**

The applicant’s credit score of 532 and four existing EMIs raise significant concerns, while their retired status and modest annual income of ₹607,432 further strain repayment capacity for a ₹100,000 business loan.

Before approval, request updated bank statements to verify income stability and assess debt servicing trends."
LN00904,31,Retired,411061,546072,48,532,6,Home,Chennai,1,0.92,1,High,"**Risk Tier: High** for the home loan application (LN00904). The retired applicant’s annual income of ₹411,061 against a loan of ₹546,072 raises affordability concerns, while their credit score of 532 and six existing EMIs signal significant repayment stress. Before approval, request updated income proof or collateral to mitigate default risk."
LN00287,56,Self-Employed,354391,265637,36,653,5,Medical,Hyderabad,1,0.78,1,High,"**Loan ID LN00287 (Medical) is a High-Risk application**—the applicant’s annual income of ₹354,391 is insufficient to cover ₹265,637 loan plus 5 existing EMIs, and their credit score of 653 falls below our risk threshold. Given these constraints, I recommend deferring approval until the applicant provides verifiable proof of additional income or reduces existing liabilities."
LN01920,35,Retired,622314,609750,48,584,4,Medical,Pune,1,0.74,1,High,"**Credit Alert for Loan ID LN01920 (Pune Branch):**

This retired applicant’s medical loan request falls into **Risk Tier 3**, given their low credit score of 584 and reliance on a modest annual income of ₹622,314. The four existing EMIs and high loan-to-income ratio of 98% further strain affordability, while the credit score suggests a history of missed payments. **Request updated bank statements for the last six months before approval** to verify cash flow stability."
LN01159,27,Retired,547530,962300,48,665,2,Home,Hyderabad,1,0.8866666666666667,1,High,"**Risk Tier: High** for the ₹962,300 home loan application (LN01159). The retired applicant’s ₹547,530 annual income falls short of the ₹1.2M threshold for this loan size, and their 665 credit score sits below our 680 minimum, compounded by two existing EMIs. Approve only if the applicant provides a co-applicant with verifiable income or pledges additional collateral to mitigate the shortfall."
LN01388,43,Unemployed,347842,767749,12,590,4,Home,Chennai,1,0.98,1,High,"Loan ID LN01388 for a home loan falls into our high-risk tier given the applicant’s weak profile. With a credit score of 590 and four existing EMIs against an annual income of ₹347,842, the debt-to-income ratio exceeds 85%, raising serious affordability concerns. Before approval, request updated employment verification and a revised income assessment to confirm repayment capacity."
LN01868,58,Unemployed,599440,563571,24,429,4,Home,Delhi,1,0.82,1,High,"**Risk Tier 8 application for a home loan (LN01868)**. The applicant’s credit score of 429 and unemployment status raise significant concerns, compounded by four existing EMIs against an annual income of ₹599,440. Before approval, request updated income documentation and a detailed explanation of the EMI obligations to reassess affordability."
LN00629,38,Retired,213541,824975,60,502,4,Home,Delhi,1,0.9933333333333332,1,High,"**Loan ID LN00629** for a home loan falls into **Tier 4 (High Risk)**. The retired applicant’s income of ₹213,541 is insufficient against the ₹824,975 loan, while their credit score of 502 and four existing EMIs further strain affordability. **Request updated income proof or a guarantor before approval to mitigate default risk.**"
LN01087,36,Self-Employed,641767,626231,60,560,4,Business,Chennai,1,0.96,1,High,"**Loan ID LN01087 (Chennai) poses a high-risk tier application for a business loan.** The applicant’s credit score of 560 and four existing EMIs strain affordability, with annual income of ₹641,767 against a loan request of ₹626,231. Approve only after verifying the business cash flow supports repayment capacity, as current obligations already exceed 40% of income."
LN01492,22,Retired,731683,228618,12,478,4,Vehicle,Delhi,0,0.7133333333333334,1,High,"This application for a vehicle loan (LN01492) falls into the high-risk tier due to the applicant’s weak credit profile. With a score of 478 and four existing EMIs, the debt-to-income ratio is concerning at 55%, while the ₹731,683 income is modest for the loan size. I recommend deferring approval until the applicant provides collateral or a guarantor to mitigate risk."
LN01162,52,Unemployed,661402,508135,60,451,6,Medical,Delhi,1,0.9133333333333332,1,High,"**Risk Tier: High-risk, Medical loan application**

This applicant’s credit score (451) and unemployment status raise significant concerns, compounded by six existing EMIs against an annual income of ₹661,402. Given the urgency of the medical purpose, I recommend requesting additional collateral or a co-applicant to mitigate repayment risk before approval."
LN01149,62,Unemployed,416855,882251,24,715,2,Business,Kolkata,1,0.6666666666666666,1,High,"This application for a business loan (LN01149) falls into the high-risk tier due to the applicant’s unemployment and modest income of ₹416,855 against a loan request of ₹882,251. With two existing EMIs and a credit score of 715, the debt-to-income ratio is concerning, while the lack of stable employment raises repayment sustainability questions. Before approval, request updated income proof or a co-applicant with verifiable earnings to mitigate risk."
LN00227,39,Retired,581604,904450,48,644,3,Vehicle,Hyderabad,1,0.9133333333333332,1,High,"**Loan ID LN00227 (Vehicle) poses a high-risk tier due to the retired applicant’s modest income of ₹581,604 against a ₹904,450 loan, with a credit score of 644 and three existing EMIs straining affordability. The low score and high leverage ratio (1.55x) heighten default risk, while the retired status limits income stability. Before approval, request updated bank statements to verify cash flow adequacy and assess repayment capacity.**"
LN00279,28,Salaried,670956,819793,24,586,2,Vehicle,Mumbai,0,0.7333333333333333,1,High,"**Loan ID LN00279** for a vehicle purchase falls into **Risk Tier 3** due to the applicant’s weak credit score of 586 and high EMI burden, with existing obligations consuming nearly 30% of their annual income of ₹670,956. The ₹819,793 loan amount further strains affordability, leaving minimal cushion for repayment shocks. **Request updated income documentation** to verify stability before approval."
LN01193,24,Self-Employed,535465,406635,24,539,5,Business,Hyderabad,1,0.92,1,High,"**Loan LN01193 (Hyderabad) is classified as a high-risk application for a business loan.** The applicant’s credit score of 539 and five existing EMIs, consuming a significant portion of their ₹535,465 annual income, raise concerns about repayment capacity. **Before approval, request updated bank statements and a detailed cash flow projection to verify income stability and EMI obligations.**"
LN01188,29,Unemployed,441853,342489,60,610,4,Education,Bangalore,0,0.62,1,High,"**Loan ID LN01188** for education financing falls into **High Risk Tier** due to the applicant’s unstable employment and high existing debt burden. With ₹441,853 annual income against ₹342,489 loan and four existing EMIs, debt-to-income ratio exceeds 100%, while a credit score of 610 signals poor repayment history. **Defer approval** until the applicant secures stable employment and reduces existing liabilities to mitigate default risk."
LN01126,24,Salaried,369371,686467,36,682,3,Medical,Bangalore,0,0.6066666666666667,1,High,"**Loan LN01126** for medical expenses falls into **Risk Tier 3** due to the applicant’s high loan-to-income ratio of **186%** and a credit score of **682**, which is below our internal threshold. With three existing EMIs already straining cash flow, the borrower’s ability to absorb additional debt is limited. **Request updated bank statements for the last three months** to verify income stability before proceeding with approval."
LN00549,44,Salaried,568527,655736,60,521,2,Education,Hyderabad,0,0.9333333333333332,1,High,"**Loan ID LN00549** for education falls into **High Risk Tier** due to the applicant’s weak credit profile. With a **521 score** and **₹568,527 income** against a **₹655,736 loan**, the debt-to-income ratio (115%) and low score raise concerns. Before approval, request **collateral or a co-applicant** to mitigate exposure."
LN01585,57,Self-Employed,435493,267257,60,622,6,Business,Kolkata,1,0.82,1,High,"**Risk Tier: High (Tier 3) for a ₹267,257 business loan.**

The applicant’s credit score of 622 and six existing EMIs raise concerns, given their modest annual income of ₹435,493 against the loan size.

Before approval, request updated bank statements to verify cash flow stability and debt servicing capacity."
LN00869,33,Salaried,199712,688621,24,608,2,Education,Bangalore,1,0.9533333333333334,1,High,"The education loan application (LN00869) for ₹688,621 falls into our high-risk tier due to the applicant’s low credit score of 608 and income of ₹199,712 against a debt-to-income ratio exceeding 60%. With two existing EMIs already straining cash flow, the borrower’s ability to service additional debt appears compromised. Before approval, request updated bank statements to verify income stability and assess recent repayment behavior."
LN00366,56,Self-Employed,515448,387949,12,372,6,Home,Chennai,1,0.8533333333333334,1,High,"**Risk Tier: High-risk (Tier 4) for a home loan application.**

The applicant’s credit score of 372 and six existing EMIs straining their ₹515,448 annual income raise significant concerns, with debt obligations likely consuming over 50% of their earnings.

Before approval, request updated bank statements to verify income sustainability and assess recent repayment behavior."
