loan_id,default_probability,risk_tier,alert_text
LN27439,0.8160385383096651,High,"This application falls into Tier 3 due to the borrower’s limited employment history and high-risk purpose. With just one year of work experience and a 17.8% interest rate on an $18,500 loan—representing 0.14% of income—the borrower’s repayment capacity is questionable despite a clean credit record. Before moving forward, request updated employment verification to confirm stability."
LN01231,0.93676879642473,High,"This application falls into the high-risk tier due to the borrower’s limited credit history and lack of employment experience, making the $16,000 loan for purpose 1 particularly concerning. The two most alarming factors are the borrower’s age of 22 with zero years of work history and a credit history length of just three years, compounded by a high 13.24% interest rate. Before approval, request additional documentation proving stable income or a qualified co-signer to mitigate risk."
LN03702,0.6002953657204696,High,"This application falls into risk tier 4 due to the borrower’s short credit history and high interest rate, raising concerns about repayment capacity given the low income relative to debt. The most troubling factors are the 19.03% interest rate and the borrower’s limited employment experience of just 6 years, compounded by a prior default. I recommend rejecting this loan outright until the borrower demonstrates at least 12 months of stable employment and a clean credit record."
LN10360,0.9411497904961768,High,"This application falls into the high-risk tier due to the borrower’s limited credit history and modest income relative to the loan amount. With just four years of credit history and a 9.91% interest rate on a $10,000 loan representing 42% of annual income, the borrower’s repayment capacity is already stretched thin. Before approval, I recommend requiring a co-signer with stronger financial stability to mitigate default risk."
LN15890,0.93329068568838,High,"The application LN15890 for a $2,500 loan at 9.99% poses high risk due to the borrower’s limited income ($12,000 annually) and short credit history (3 years), making repayment capacity questionable despite no defaults. The most concerning factors are the loan amount representing 21% of annual income and the borrower’s young age (26) with only 6 years of employment experience, both of which heighten default risk. Before approval, require a co-signer or additional collateral to mitigate exposure."
LN32102,0.7600431874878127,High,"This application for a $20,000 personal loan at 14.61% interest falls into risk tier 3 due to the borrower’s limited employment history of just two years and lack of home ownership, both red flags for repayment reliability. With a 16-year credit history showing one default and an annual income of $103,000, the 0.19% income-to-loan ratio masks the thin employment tenure and unsecured exposure. Before approval, require proof of at least six months of stable employment with the current employer."
LN27680,0.8276286009116113,High,"This application falls into risk tier 3 due to the borrower’s single prior default and the unsecured nature of the $25,000 loan at a 14.62% rate. The two most concerning factors are the 19-year employment history paired with no home ownership, which raises questions about stability, and the 10-year credit history with just one default, suggesting potential future issues. Before approval, request updated bank statements to verify cash flow consistency and confirm no undisclosed liabilities."
LN25267,0.8913369495121928,High,"This application falls into Tier 4 due to the high interest rate and borrower profile, raising concerns about affordability and risk. The most troubling factors are the 16% interest rate on a $12,000 loan and the borrower’s low income-to-loan ratio of 0.29%, which strains repayment capacity. Before approval, request additional documentation of stable income or co-signer support to mitigate default risk."
LN32189,0.6997410266273931,High,"This application falls into Tier 3 due to the high interest rate and modest income relative to the loan amount. The most concerning factors are the borrower’s limited employment history of just four years and lack of home ownership, which increases repayment risk. Before approval, I recommend verifying additional sources of income or collateral to mitigate exposure."
LN28050,0.7487121095504005,High,"This application falls into Tier 3 due to the high interest rate and minimal income impact, raising concerns about repayment capacity given the borrower’s short credit history. The two most troubling factors are the 16% interest rate on a $20,000 loan and the borrower’s single prior default within a five-year credit history, which suggests potential credit risk. Before approval, request updated bank statements to verify cash flow stability and assess whether the borrower can sustain the repayment burden."
LN22145,0.9313053181415832,High,"This application falls into Tier 3 due to the borrower’s lack of employment history and high-risk loan purpose, raising concerns about repayment capacity. The most troubling factors are the 0.11% income allocation for a $6,500 loan at 16.35% interest and the borrower’s zero years of work experience despite a seven-year credit history. Before approval, request documented proof of stable income or a co-signer to mitigate default risk."
LN07514,0.747380323707537,High,"This application falls into our highest risk tier due to the borrower’s age, limited credit history, and the loan’s purpose. With just three years of credit history and a $6,450 loan representing 22% of their $29,361 income, the borrower’s thin file and high debt-to-income ratio raise significant concerns. Before approval, request updated bank statements to verify income stability and assess cash flow trends."
LN17267,0.6471693103323023,High,"This application falls into Tier 3 due to the borrower’s short credit history and high loan-to-income ratio, making it a higher-risk proposition. The two most concerning factors are the applicant’s single default in the past two years and the fact that 21% of their annual income is being committed to this loan despite only three years of employment stability. Before approving, request a detailed explanation of the default circumstances and verify current employment status."
LN00380,0.8982521935078429,High,"This application falls into the high-risk tier due to the borrower’s limited credit history and modest income relative to the loan amount. The two most concerning factors are the borrower’s young age with only three years of credit history and the loan representing 23% of their annual income, which exceeds prudent lending thresholds. Before approval, I recommend requiring a co-signer with stronger financial stability to mitigate repayment risk."
LN17776,0.8985973643435011,High,"This application falls into the high-risk tier due to the borrower’s limited credit history and short employment tenure, making underwriting standards difficult to justify. The most concerning factors are the borrower’s 2-year credit history with no defaults and an annual income of $68,000 supporting a $14,400 loan at 17.99% interest, which strains affordability at just 0.21% of income. Before approval, request additional documentation of stable employment or a co-signer to mitigate risk exposure."
LN09032,0.8553782634217207,High,"This application falls into the high-risk tier due to the borrower’s limited credit history and minimal employment stability, with the $8,000 loan for purpose 2 raising further concerns. The two most troubling factors are the applicant’s single default on record and just one year of work experience with an income of $49,161, which strains affordability despite the low debt-to-income ratio. Before approval, request additional documentation verifying the source of income and recent payment behavior to assess repayment capacity more accurately."
LN07481,0.6659360170423851,High,"This application falls into our higher-risk tier due to the borrower’s limited credit history and modest income relative to the loan size. The most concerning factors are the borrower’s short employment history of just one year and a debt-to-income ratio that, while low at 0.12%, masks the borrower’s thin financial cushion given their age and lack of home ownership. Before moving forward, I recommend requiring a co-signer with stronger credit stability to mitigate risk exposure."
LN00357,0.6114952189983932,High,"This application falls into Tier 4 with a high-risk purpose, raising concerns due to the borrower’s limited credit history and low income relative to the loan amount. The two most troubling factors are the 24-year-old applicant’s short 2-year credit history with a prior default and the loan representing 23% of their annual income despite a modest $16,020 salary. Before approval, require a co-signer with stable income and stronger credit to mitigate repayment risk."
LN24407,0.8687901070704681,High,"This application falls into the higher-risk tier due to the borrower’s limited income stability and the unsecured nature of the loan, despite their brief credit history. The most concerning factors are the 15.31% interest rate on a $10,000 loan, which exceeds typical thresholds for this income level, and the borrower’s single prior default, indicating potential repayment challenges. Before approval, request updated bank statements to verify cash flow and assess recent spending patterns."
LN24986,0.9241428738671372,High,"This application falls into the higher-risk tier due to the borrower’s limited income stability and short credit history, despite the modest loan amount. The two most concerning factors are the borrower’s annual income of $25,200 and a default status, which suggests potential repayment challenges given the loan’s 14.46% interest rate. Before approval, I recommend verifying the borrower’s employment stability with a recent pay stub or employer confirmation."
LN05252,0.9274700987992276,High,"This application falls into the high-risk tier due to the borrower’s limited credit history and modest income relative to the loan size. The most concerning factors are the 22-year-old applicant’s just four years of credit history and the loan representing 37% of their annual income, which strains affordability despite a clean default record. Before approval, request additional proof of stable employment or a co-signer to mitigate risk exposure."
LN14912,0.9375722766782362,High,"This application for a $15,000 loan to a 23-year-old borrower with only three years of employment history falls into the highest risk tier due to thin credit file and limited income stability. The most concerning factors are the borrower’s short credit history of just four years and the loan representing 31% of their $48,800 annual income, well above prudent thresholds. Before approval, request additional documentation verifying consistent employment and a co-signer to mitigate risk."
LN02038,0.702437291792955,High,"This application falls into Tier 4 due to the borrower’s limited credit history and low income relative to the loan size, raising concerns about repayment capacity. The two most troubling factors are the single prior default and the 16.45% interest rate on a $12,000 loan, which strains affordability given a $30,000 annual income. Before approval, require proof of six months’ stable employment and a co-signer with stronger credit to mitigate risk."
LN05239,0.9394715300104076,High,"This application falls into our high-risk tier due to the borrower’s limited credit history and modest income relative to the loan amount. The most concerning factors are the applicant’s short 2-year credit history with no defaults and a loan-to-income ratio of 39%, which strains affordability given their $23,000 annual salary. Before approval, require a co-signer with stable income to mitigate repayment risk."
LN25868,0.8810336617341554,High,"This application for a $13,000 loan at 16% interest for purpose 3 falls into Tier 3 due to the borrower’s short credit history of 6 years and a prior default, which raises repayment reliability concerns. The two most troubling factors are the 16% interest rate—well above market averages for this grade—and the borrower’s lack of home ownership, limiting asset-backed security. Before approval, request updated bank statements to verify cash flow stability and confirm no additional liabilities."
LN00109,0.9351107470550164,High,"This application falls into risk tier 3 due to the borrower’s limited credit history and modest income relative to the loan amount, despite a clean default record. The most concerning factors are the applicant’s short employment tenure of just 2 years and the high interest rate of 15.31%, which strains affordability given their $41,000 annual income. Before approval, request updated employment verification to confirm stability beyond the initial two-year period."
LN32317,0.871054948325468,High,"This application falls into the high-risk tier due to the borrower’s high interest rate and modest income relative to the loan amount. The two most concerning factors are the 13.49% interest rate, which is well above market averages, and the 0.31% of income allocated to this loan, leaving little cushion for unexpected expenses. Before approval, request updated bank statements to verify cash flow stability and confirm no additional liabilities are hidden."
LN30029,0.6014479635218969,High,"This application falls into Tier 3 due to the high interest rate and borrower profile, raising concerns about affordability given the limited income stability. The most troubling factors are the 19.03% interest rate on an $8,875 loan and the borrower’s $38,200 annual income, which represents 23% of take-home pay—well above our 15% threshold. Before approval, require proof of additional income or a co-signer to mitigate repayment risk."
LN14902,0.9369428376930364,High,"This application falls into the high-risk tier due to the borrower’s limited credit history and modest income relative to the loan amount. The most concerning factors are the applicant’s short employment history of just two years and a credit history length of only three years, which increases default risk despite a clean record. Before approval, I recommend requiring a co-signer with stronger financial stability to mitigate exposure."
LN21173,0.9270945094743408,High,"This application sits in the highest risk tier due to the borrower’s lack of employment history despite an eight-year credit history, raising concerns about repayment capacity for an unsecured $5,000 loan at 15.21%. The most troubling factors are the zero years of documented employment and the 0.07% income-to-loan ratio, which offers minimal cushion for financial disruption. Before approval, request recent bank statements to verify cash flow stability and confirm no hidden liabilities exist."
LN17073,0.8317189602390695,High,"This application falls into our high-risk tier due to the borrower’s limited credit history and short employment tenure, despite the modest loan amount. The most concerning factors are the borrower’s age (23) paired with just one year of work experience and a thin two-year credit file, which increases default risk disproportionately for the loan’s small size. Before approval, obtain a detailed explanation of the income source and verify employment stability through pay stubs and employer confirmation."
LN22860,0.9304452422743176,High,"This application falls into our high-risk tier due to the borrower’s limited income stability and short employment history, raising concerns about repayment capacity for an unsecured loan. The most troubling factors are the borrower’s annual income of just $20,400 against an $8,000 loan—nearly 40% of their yearly earnings—and only two years at their current job, with no collateral to offset risk. Before approving, request recent bank statements to verify cash flow and assess whether the borrower can sustain these payments without distress."
LN23186,0.6967555127244099,High,"This application falls into the high-risk tier for a $24,000 personal loan due to the borrower’s limited income cushion and high debt-to-income ratio. The two most concerning factors are the 12.53% interest rate, which significantly exceeds industry norms for this grade, and the 0.4% of annual income allocated to this loan, leaving minimal flexibility for unexpected expenses. Before approval, request updated bank statements to verify cash flow stability and confirm no undisclosed liabilities exist."
LN31410,0.6184618146722022,High,"This application falls into our highest risk tier due to the borrower’s lack of employment history despite a 12-year credit history, raising concerns about repayment capacity for the $12,000 loan at 14.11%. The two most troubling factors are the zero years of documented employment and the loan representing 13% of annual income, which is unusually high for this grade. Before approval, request recent bank statements to verify cash flow and confirm the income source."
LN08817,0.8147090809260229,High,"This application falls into the high-risk tier due to the borrower’s limited credit history and short employment tenure, making it concerning for approval. The two most alarming factors are the borrower’s just one year of work experience and a credit history length of only three years, which increase default risk despite a low default count. Before moving forward, I recommend requiring a co-signer with stronger financial stability to mitigate potential exposure."
LN23127,0.7095704633268789,High,"This application sits in Risk Tier 4 for a $6,500 personal loan, which is concerning given the borrower’s limited credit history of just 6 years and a prior default. The two most alarming factors are the 16.45% interest rate—well above market averages—and the 0.12% of income this loan represents, which may strain affordability despite the low absolute amount. Approve only after requiring a detailed debt-to-income breakdown and verification of current employment stability."
LN06015,0.8525943681323427,High,"This application falls into Tier 3 with a small loan purpose, but the borrower’s limited credit history of just four years raises concerns given their young age. The most troubling factors are the high 14.84% interest rate on a $5,600 loan and the minimal 0.08% of annual income this represents, which may understate repayment capacity. Before approval, request updated employment verification to confirm stability beyond the stated seven years."
LN24715,0.6141923528438672,High,"This application falls into Tier 3 due to the high 16.89% interest rate on a $10,000 unsecured loan, which strains affordability given the borrower’s 0.13% income-to-loan ratio. The two most concerning factors are the short 4.0 years of employment history paired with a 16.89% rate, which exceeds typical thresholds for unsecured lending. Before approval, request updated pay stubs and a written explanation of how the borrower plans to manage this debt alongside their existing obligations."
LN00706,0.9332007795937022,High,"This application falls into Risk Tier 3 due to the borrower’s limited credit history and high-interest rate, which raises concerns about affordability and repayment capacity. The most troubling factors are the 4-year credit history with no defaults but also no demonstrated ability to handle larger obligations, and the 14.84% interest rate on a $20,000 loan, which strains the borrower’s $62,400 income. Before approval, request updated bank statements to verify consistent cash flow and assess discretionary spending habits."
LN24793,0.8552581893766051,High,"This application falls into our high-risk tier due to the unsecured nature of the loan and the borrower’s limited credit history despite their eight-year track record. With a debt-to-income ratio of 24% on a $17,000 loan at 16.89% interest and no home ownership, the borrower’s financial stability is questionable, especially given their modest $59,497 annual income and only four years at their current job. Before approval, I recommend requiring a co-signer with stronger credit to mitigate the elevated default risk."
LN12198,0.8942297444823848,High,"This application falls into our high-risk tier due to the borrower’s age and limited credit history, despite a stable income. The two most concerning factors are the 21-year-old applicant’s three-year credit history combined with a $12,000 loan representing 40% of their $30,000 annual income, which strains affordability. Before approval, require a co-signer with established credit to mitigate repayment risk."
LN26855,0.9377912820388102,High,"This application falls into Tier 2 due to the borrower’s limited employment history and modest income relative to the requested loan. The most concerning factors are the 3.0 years of employment experience with a $45,000 annual income and a 13.48% interest rate on a $15,000 loan, which strains affordability at 0.33% of income. Before approval, request additional documentation verifying stable income and a detailed repayment plan to mitigate risk."
LN24000,0.8089145546073823,High,"This application falls into Tier 3 due to the borrower’s limited credit history and high debt-to-income ratio, making it a higher-risk personal loan. The most concerning factors are the 6-year credit history with no defaults and a 0.29% income allocation for a $10,000 loan at 15.58% interest, which strains affordability despite the low percentage. Before approval, request updated bank statements to verify consistent income and assess cash flow stability."
LN06272,0.6077770259536436,High,"This application falls into our high-risk tier due to the borrower’s limited credit history and modest income relative to the loan amount. With only three years of credit history and a 15.23% interest rate on a $6,000 loan representing 19% of their annual income, the borrower’s ability to manage debt is questionable. Before approval, I recommend requiring a co-signer with stronger financial stability to mitigate risk."
LN32280,0.899570505285194,High,"This application falls into our high-risk tier due to the borrower’s extremely low annual income of $11,340 and minimal employment history of just four years, making repayment capacity highly uncertain. The two most concerning factors are the 13.48% interest rate on a $1,950 loan—far above standard rates—and the fact that this loan consumes 17% of the borrower’s annual income, which is well above prudent lending thresholds. Before approval, request additional proof of consistent income or a co-signer to mitigate default risk."
LN14657,0.9377912820388102,High,"This application falls into the high-risk tier due to the borrower’s limited credit history and modest income relative to the loan amount. The most concerning factors are the borrower’s short employment history of just two years and the loan representing 42% of their annual income, which strains affordability. Before approval, request additional proof of stable income or a co-signer to mitigate repayment risk."
LN21367,0.8621908235628326,High,"This application falls into Tier 3 due to the borrower’s limited income stability and high debt-to-income ratio, raising concerns about repayment capacity given the short employment history. The most troubling factors are the $30,000 annual income paired with a $5,600 loan representing 19% of monthly earnings, compounded by a 14.84% interest rate that strains affordability. Before approval, request updated pay stubs and employment verification to confirm current income and job continuity."
LN25038,0.9176670335223788,High,"This application falls into the high-risk tier due to the borrower’s limited income stability and short credit history, despite the modest loan amount. The two most concerning factors are the borrower’s annual income of $22,452 against a $12,000 loan (53% of income) and just 2 years of employment experience, which raises repayment capacity questions. Before approval, request a detailed explanation of the borrower’s monthly expenses and debt obligations to assess affordability."
LN29278,0.6477413907470018,High,"This application falls into Tier 3 due to the high interest rate and short employment history, raising concerns about affordability and repayment capacity. The borrower’s $83,000 income and 0.27% debt-to-income ratio appear manageable, but the 23.22% rate and 3-year employment tenure introduce significant risk, especially with a prior default flagged. Before approval, request a detailed explanation of the default and verification of current employment stability."
LN00473,0.92241318358078,High,"This application falls into Tier 2 due to the borrower’s limited credit history and modest income, which raises concerns about repayment capacity given the loan’s purpose. The two most troubling factors are the applicant’s short 2-year credit history paired with a 22% debt-to-income ratio on a $4,000 loan, compounded by just 2 years of employment experience. Before approval, request additional documentation verifying stable income or a co-signer to mitigate risk."
LN07442,0.9394715300104076,High,"This application for $6,700 (purpose code 1) falls into the highest risk tier due to the borrower’s age, lack of employment history, and thin credit file. The most concerning factors are the $12,000 annual income with zero years of work experience and a loan-to-income ratio of 56%, which strains affordability despite the short repayment term. Before approval, require a cosigner with stable income or sufficient collateral to mitigate default risk."
LN01861,0.9157897544304866,High,"This application falls into the high-risk tier due to the borrower’s limited credit history and short employment tenure, raising concerns about repayment capacity despite a strong income. The two most troubling factors are the borrower’s 2-year credit history with no defaults and a loan-to-income ratio of 15%, which, while low, is offset by their inexperience managing debt. Before approval, request additional documentation such as recent bank statements to verify cash flow stability and confirm the borrower’s ability to handle this obligation."
LN21469,0.9378394159439586,High,"This application falls into our highest risk tier due to the borrower’s lack of employment history despite a seven-year credit history, raising concerns about repayment capacity for a $6,000 loan at 10.99% interest. The most troubling factors are the $18,000 annual income with zero years of employment and the loan equaling 33% of monthly earnings, which significantly exceeds prudent lending thresholds. Before approval, request documented proof of consistent income or a qualified co-signer to mitigate default risk."
LN28062,0.9395023316046924,High,"This application falls into Tier 3 due to the borrower’s limited income and short employment history, raising concerns about repayment capacity given the high interest rate. The two most troubling factors are the $12,000 annual income with just one year of work experience and the loan amount representing 38% of monthly earnings, which strains affordability. Before approval, request additional proof of stable income or a co-signer to mitigate risk."
LN00771,0.6410631487765459,High,"This application falls into the high-risk tier due to the borrower’s young age, limited credit history, and high interest rate for a $20,000 loan. The most concerning factors are the 4-year credit history with one prior default and the 15.05% interest rate, which strains affordability despite a $76,042 income. Before approval, require a detailed repayment plan and proof of stable employment beyond the current role."
LN00053,0.8871116551483892,High,"This application for a $30,000 personal loan at 15.23% interest falls into our high-risk tier due to the borrower’s limited credit history and single prior default. With just three years of credit history and a 33% income utilization rate, the borrower’s financial flexibility is already stretched, compounded by their young age and modest employment tenure. Approve only if the borrower provides verifiable collateral or a co-signer with strong credit to mitigate the elevated risk."
LN23457,0.6867331222101972,High,"This application falls into our high-risk tier due to the borrower’s limited income stability and short employment history, despite a near-prime credit profile. The most concerning factors are the 13.98% interest rate on an $8,400 loan for a borrower earning just $32,000 annually, which consumes 26% of their monthly income, and the 3-year employment tenure with a 9-year credit history suggesting potential overleveraging. I recommend deferring approval until additional income verification or a co-signer is provided to mitigate repayment risk."
LN04798,0.7251098732062801,High,"This application falls into Tier 3 due to the borrower’s limited credit history and high interest rate, raising concerns about repayment capacity given the minimal income allocation. The most troubling factors are the 14.11% interest rate on a $5,000 loan and the borrower’s short 4-year credit history, which increases default risk despite no prior defaults. Before approval, request additional proof of stable income beyond the stated $33,280 to justify the loan’s affordability."
LN00241,0.9340550717775984,High,"This application falls into risk tier 4 due to the borrower’s short credit history of just 4 years and a high interest rate of 16.35% on a $25,000 loan, which strains affordability despite their $74,004 income. The two most concerning factors are the applicant’s age of 23 with only 7 years of employment experience and the loan consuming 34% of their annual income, well above prudent thresholds. Before approval, request additional documentation verifying stable income sources and a detailed explanation of how the borrower plans to manage the repayment burden given these risks."
LN00668,0.9393216439188722,High,"This application falls into the high-risk tier due to the borrower’s limited employment history and modest credit profile, despite the modest loan amount. The most concerning factors are the applicant’s one-year job tenure and a 37% debt-to-income ratio, which strain repayment capacity given their $54,000 income. Before approval, request updated pay stubs and employment verification to confirm stability."
LN19693,0.908320071819491,High,"This application falls into the high-risk tier due to the borrower’s low annual income of $18,996 against a $3,250 loan, raising concerns about repayment capacity given the 16.32% interest rate. The two most troubling factors are the borrower’s income-to-loan ratio of 17%—well above prudent thresholds—and their limited credit history of just 7 years with no defaults, which may not adequately reflect long-term risk. Before approval, request updated bank statements to verify cash flow stability and confirm the borrower’s ability to service this debt without financial strain."
LN28725,0.9195865108007744,High,"This application falls into Tier 3 with a debt consolidation purpose, raising concerns due to the borrower’s limited income stability and high debt-to-income exposure at 67%. The two most troubling factors are the applicant’s short 2.0 years of employment history and a 14.74% interest rate that could strain repayment, especially given their modest $30,372 annual income. Before approval, request updated pay stubs and employment verification to confirm current job status and income consistency."
LN01794,0.8313586630397491,High,"This application falls into the highest risk tier due to the borrower’s limited credit history and low income relative to the loan amount. The most concerning factors are the 2-year credit history with no defaults and a loan-to-income ratio of 8.3%, which is unusually high for such a short credit track record. Before approval, request additional proof of stable employment or a co-signer to mitigate risk exposure."
LN00066,0.6087612010280351,High,"This application for a $1,500 short-term loan to a 22-year-old borrower with only $12,000 annual income and a single prior default poses high risk given their limited credit history and minimal financial cushion. The most concerning factors are the 14.84% interest rate on a loan consuming 13% of their income and a 3-year credit history with a prior default, indicating potential repayment struggles. Before approval, require a co-signer with stable income to mitigate default risk."
LN22017,0.7155731716785856,High,"This application falls into Risk Tier 3 due to the borrower’s limited income stability and lack of home ownership, despite a short but clean credit history. The two most concerning factors are the borrower’s $51,600 annual income supporting a $12,200 loan at 15.28% interest, which consumes 24% of monthly income, and their 4.0 years of employment experience with no collateral. Before approval, request updated pay stubs and employment verification to confirm income consistency and job stability."
LN01384,0.8691220011579207,High,"This application falls into Tier 3 due to the borrower’s limited credit history and modest income, raising concerns about repayment capacity given the high interest rate. The most troubling factors are the applicant’s single year of employment and a prior default, which suggest higher risk despite the small loan amount. Before approval, request an additional six months of recent pay stubs to verify stable income and employment continuity."
LN00023,0.9165397373243956,High,"This application falls into our high-risk tier due to the borrower’s limited credit history and the loan’s high interest rate, which strains affordability despite the modest income percentage. The two biggest red flags are the 4-year credit history for a 22-year-old and the 17.58% interest rate on a $34,000 loan, which could push debt service beyond sustainable levels. Before approval, require a detailed debt-to-income breakdown and proof of emergency savings to assess repayment resilience."
LN26256,0.8575986378515789,High,"This application falls into Tier 3 due to the borrower’s limited employment history and modest income relative to the loan amount, despite a clean credit record. The two most concerning factors are the borrower’s short 2.0 years of employment and the loan representing 25% of annual income, both of which heighten repayment risk. Approve only after requiring a co-signer with stable income to mitigate potential default."
LN09354,0.6939669647322133,High,"This application falls into the high-risk tier due to the borrower’s lack of employment history, minimal credit experience, and a prior default, making it concerning for repayment capacity. The two most alarming factors are the 14.42% interest rate on a $6,000 loan to a 24-year-old with no income stability and a 1% of annual income debt burden, which strains affordability despite the small principal. Before approval, require a co-signer with verifiable income to mitigate default risk."
